geneID	uniprotID	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
HTT	P42858	9.07722	9.82654	9.1185	9.57854	9.65482	9.15782	10.19472	9.88851	9.06192	9.27129	9.77898	9.69147	9.72803	9.46848	10.26047	9.19383	9.37085	9.59064	9.44844	9.89227	9.12348	9.15325
APOBR	Q0VD83	6.77362	6.79127	7.25264	7.07082	6.84877	6.7326	6.59661	6.78073	6.65834	7.19197	6.85912	7.60522	6.96648	7.05265	7.18697	7.15282	7.21475	6.86942	6.91968	7.00803	7.03441	7.10031
SIPA1L1	O43166	9.0668	9.65101	9.38657	9.80541	9.67021	8.87681	9.66311	9.85421	8.43149	9.74647	10.06251	9.5416	9.1404	8.73401	9.71226	9.15992	9.55417	9.12447	9.10669	9.0761	8.86476	9.78888
SIPA1L3	O60292	10.16448	10.35301	9.86413	9.95026	10.3241	10.011	11.01371	9.86938	9.98521	10.37897	10.5052	10.27091	10.43351	9.7769	10.19897	10.5499	10.18969	9.85068	10.52477	9.81847	10.11735	10.452
SIPA1L2	Q9P2F8	7.6434	8.34252	7.08996	7.88545	8.0808	7.49131	7.98893	7.33507	7.44923	8.51469	7.43681	8.21336	7.00115	6.90146	8.62012	7.24936	8.33482	9.42134	8.35158	8.04738	8.24147	7.94242
LTBP4	Q8N2S1	8.09136	7.61398	7.62629	8.10789	8.17384	6.92675	8.46142	8.78699	7.59054	7.56191	7.75363	8.2201	7.57444	6.86947	8.22555	8.09508	7.86532	8.15712	7.94665	9.40122	7.78522	7.61419
LTBP3	Q9NS15	8.51545	7.80202	7.90091	8.1365	8.38363	8.30653	8.01873	7.73748	8.51324	8.46514	7.94315	7.75466	9.05029	8.05895	8.46696	8.57882	7.91883	8.60009	7.55493	7.79399	8.08935	7.99675
LTBP2	Q14767	5.990985	5.924950000000001	5.900435	5.8313500000000005	5.8569949999999995	5.929914999999999	5.961729999999999	5.89455	6.06734	6.096674999999999	5.962765	6.0093499999999995	5.758285000000001	5.790165	5.8818649999999995	6.103255000000001	5.7732399999999995	5.9777249999999995	5.933845	6.05379	5.9182500000000005	6.120885
LTBP1	Q14766	6.7854	8.63598	5.67338	7.76357	7.18951	5.9383	8.64366	7.89714	5.26954	7.84098	8.72706	8.05243	6.21789	6.87781	9.00982	6.87736	7.11995	7.45459	6.59907	7.92352	5.97758	7.93688
AGPAT3	Q9NRZ7	9.03563	8.73799	8.88748	9.00141	8.61636	8.63718	9.43405	8.825	9.17124	9.191	9.1204	8.80649	9.3602	8.95704	9.32435	9.23793	8.95328	9.17211	8.41133	9.06711	8.88712	8.90785
SUFU	Q9UMX1	8.33249	8.15601	8.44843	8.11907	8.19643	8.12082	8.87852	8.31113	8.08574	8.18617	8.21882	8.25623	8.1973	8.58296	8.65445	8.39952	8.18784	7.88611	8.33994	8.4179	7.81184	7.78382
CRAT	P43155	8.88916	9.56682	9.66386	10.50146	10.06602	8.65187	8.66048	9.97195	10.3624	10.66343	10.71217	9.89125	10.09961	9.61034	10.30485	10.69649	9.96455	10.35433	9.30953	10.34521	9.36505	9.79797
SLC35F6	Q8N357	10.11163	10.03508	10.1261	10.04849	9.58319	10.3928	9.97567	10.24841	10.43339	10.60744	10.32003	10.35983	10.44474	10.26609	10.42219	10.72652	10.26335	10.16457	10.19235	10.11613	10.2639	10.40092
LRWD1	Q9UFC0	7.75579	7.56387	7.40191	7.82576	8.11902	7.67027	7.79409	7.83692	8.22586	7.81914	7.66774	7.61095	7.55409	7.56761	7.4719	7.76535	7.65097	7.63359	8.10354	7.50722	7.75756	7.41648
MBD5	Q9P267	7.30624	7.40917	8.12388	7.59946	7.13094	8.39675	8.26194	7.54222	7.59128	8.25256	8.06824	7.94308	7.89249	8.02679	8.17124	8.55628	7.29466	8.07073	7.44257	8.29855	7.68079	7.56635
MBD4	O95243	10.285105	10.074079999999999	10.198675000000001	10.119365	10.330435000000001	10.3248	10.25778	10.159665	10.31408	10.27165	10.10538	10.413174999999999	10.42115	10.617799999999999	9.900120000000001	10.344845	10.22141	10.334745000000002	10.350835	10.14105	10.37306	10.493305
CMTM8	Q8IZV2	8.91368	9.22164	9.125	8.79806	8.91765	9.59533	8.29092	9.07281	9.28565	9.42069	9.29577	8.8031	9.3066	9.36958	9.06751	9.39015	9.30981	9.11519	8.89106	9.10793	8.6403	8.97927
MBD6	Q96DN6	8.36188	8.73964	8.36086	8.32141	8.20926	8.49834	8.15383	8.01575	8.12224	8.25162	8.19579	7.81588	8.2722	8.33639	8.32379	8.40835	8.3081	8.45062	8.74577	7.88115	8.69169	8.37312
MBD1	Q9UIS9	8.657405	8.708404999999999	9.32896	9.525015	9.076975000000001	9.244900000000001	9.04871	9.16507	8.894115	9.1633	9.238620000000001	9.171050000000001	8.640194999999999	8.526264999999999	9.679625	9.267074999999998	8.757605	9.437645	8.510110000000001	9.508625	8.71602	9.01211
MBD2	Q9UBB5	10.13826	10.10362	9.84321	10.44379	10.83363	9.9916	9.55565	10.1213	9.8699	10.20884	10.25032	10.28125	9.99203	9.84083	10.25057	10.21247	10.04437	9.64161	10.09579	10.14341	10.1632	10.31084
CMTM2	Q8TAZ6	5.61741	5.58527	5.90855	5.82692	5.84314	5.31262	5.59874	6.07587	5.96815	5.84759	5.60746	5.79578	5.65035	5.66439	5.79578	5.78804	6.01988	5.96797	5.94348	6.05052	5.50679	5.8047
CMTM3	Q96MX0	6.48787	6.91816	8.08814	6.96459	5.79358	8.72486	10.15613	8.01072	6.53876	7.65841	7.71577	6.22548	7.80684	7.92839	8.80319	7.97516	6.82189	8.70485	6.76004	6.23125	5.88037	6.08374
CMTM1	Q8IZ96	7.42607	7.83342	7.71032	7.89603	7.28673	7.35483	7.98584	7.69383	7.20713	7.46541	7.37982	6.88065	7.30618	7.23327	7.3517	7.55042	7.8667	7.0266	7.4721	7.20742	7.06792	7.19
CMTM6	Q9NX76	10.85501	9.94711	10.31981	10.2148	9.97257	10.3464	9.11501	10.14091	10.08272	10.5473	10.1254	10.37057	9.9787	10.42654	10.56162	10.72378	10.08012	10.66043	9.68819	10.12208	9.94627	10.08062
DEC1	Q9P2X7	3.39204	3.38022	3.33403	3.28541	3.46398	3.18087	3.12189	3.60354	3.50131	4.1955	3.8343	3.8446	3.49791	3.35661	3.30357	3.41938	3.74512	3.56833	3.82726	3.51211	3.76672	3.75855
CMTM4	Q8IZR5	10.72754	11.25905	10.57092	10.55676	10.37447	10.82269	9.92329	10.75286	10.11466	10.40533	11.112	10.84807	10.5084	10.78263	10.58362	10.00131	10.92139	10.13408	10.06066	10.86507	10.87785	10.40415
CMTM5	Q96DZ9	5.07327	5.50406	5.52855	5.41548	5.31015	5.4081	5.11173	5.48087	5.61335	5.84	5.59366	5.32622	5.31843	5.4628	5.5271	5.56335	5.60566	6.01672	5.80342	5.53787	5.6533	5.69807
TSPAN18	Q96SJ8	5.40332	5.17671	6.79337	5.43663	5.48574	6.41562	4.88963	6.66691	7.43317	6.31752	5.33259	5.77297	5.85166	5.1424	5.10999	6.29821	5.86635	5.29776	5.46398	6.51523	5.31038	5.51817
TSPAN19	P0C672	2.40048	2.19068	2.33083	2.46031	2.14541	2.22685	2.18126	2.33586	2.52915	2.5534	2.48591	2.2723	2.21846	2.35167	2.45357	2.4068	2.48772	2.43554	2.38817	2.10835	2.30208	2.19717
MPC2	O95563	10.65369	10.51248	9.84142	10.55085	9.49593	10.52157	9.92184	10.16798	10.46669	10.27494	10.81267	10.359	10.26184	10.36096	9.7827	9.99176	10.39298	9.80345	10.49204	10.34226	10.5463	10.09441
MPC1	Q9Y5U8	9.46714	9.7379	8.67321	8.8909	9.30029	8.46748	9.63526	10.12792	9.93319	9.41222	9.65765	9.75444	9.37111	9.4938	8.65391	9.50996	9.84735	8.94258	9.71051	9.76823	9.7208	8.68041
TSPAN10	Q9H1Z9	5.59673	5.65144	5.63722	5.79983	5.66578	5.65451	5.71942	5.74077	5.79474	5.57889	5.93354	5.86537	5.68127	5.3654	5.68728	5.99002	5.70641	6.19354	5.92998	5.89461	5.78194	5.7434
TSPAN11	A1L157	6.77625	6.71669	6.66409	6.97301	6.51312	6.55305	6.33518	6.61234	6.58736	6.76412	6.71669	6.70773	6.63595	6.45744	6.66826	6.71669	7.01421	6.70511	6.86532	6.7463	6.78207	6.86424
TSPAN12	O95859	6.61213	6.88942	6.94522	6.73831	8.6503	7.26996	6.57066	7.26423	7.4631	6.62138	6.12284	7.93416	6.61963	6.03908	7.36739	5.75209	6.91385	6.58998	7.54189	7.82948	6.92896	6.33798
TSPAN13	O95857	11.17998	11.65634	10.0673	11.06848	10.90298	10.48276	9.53097	11.08144	10.71091	10.69815	10.58516	10.22347	11.10823	10.32582	10.6535	10.6331	10.58232	11.02123	10.93848	11.56202	11.2058	10.8591
TSPAN14	Q8NG11	10.20982	9.97616	10.46172	10.09827	9.34159	9.97611	9.28402	10.39746	10.16532	10.30556	10.24184	10.43291	10.16375	10.3298	10.98681	10.51223	10.20543	10.15107	10.43746	10.16904	9.70524	9.33012
TSPAN15	O95858	11.29454	10.31256	11.02173	11.03349	10.12844	10.91211	9.67225	11.0356	10.69237	11.0587	10.75958	11.00701	10.52596	10.71936	10.97304	11.01648	11.11656	10.88518	10.96304	10.55175	10.69935	11.06102
TSPAN16	Q9UKR8	5.21686	5.31904	5.03131	4.75662	4.97127	4.97569	4.97132	5.09164	5.11217	5.22848	5.18714	5.09164	5.02646	4.78822	4.88574	5.26182	5.23054	4.95326	5.20938	4.95179	4.82906	5.60932
TSPAN17	Q96FV3	9.54837	9.76787	8.93974	9.15113	9.21767	8.91387	9.67858	9.61628	9.1487	9.64536	9.30995	9.47951	9.22745	9.21839	10.1656	9.60127	9.40176	9.45753	9.08717	9.25759	8.80688	9.83079
HEPACAM2	A8MVW5	3.4046	6.79335	5.33016	6.33296	5.4817	3.68476	3.42965	3.78645	3.95306	3.82655	3.81696	3.8354	3.22271	3.67513	3.43277	3.88286	5.77435	3.59825	5.8911	4.4853	3.87883	3.78347
REXO2	Q9Y3B8	11.30427	10.6351	11.20785	10.81204	9.88656	9.19516	10.06906	10.42022	10.22193	11.97229	11.23894	11.62743	10.20513	9.33628	11.15332	11.12288	10.96037	10.5453	11.07071	10.85288	10.11176	10.91587
REXO5	Q96IC2	7.54325	7.14627	7.49727	7.77548	8.56492	7.75756	8.3743	8.08762	8.5034	6.89684	7.41346	7.27304	7.48532	6.98585	7.18474	7.85957	8.45483	6.26163	7.23041	7.7514	7.76601	7.43374
TM4SF4	P48230	5.58018	6.09891	5.72143	7.13519	5.35278	5.6586	4.66544	10.24009	4.74267	6.04526	5.5806	5.78102	5.26386	4.85186	5.93584	5.17763	6.51939	5.29602	5.50398	5.68099	5.19735	5.2851
TNNI3	P19429	6.3830100000000005	6.82042	6.42188	6.490305	6.68959	6.218985	6.02679	7.0824750000000005	7.48236	6.834685	6.357810000000001	7.487475	7.094825	6.405825	6.843915000000001	6.7238299999999995	6.92038	6.23521	6.707364999999999	7.4753050000000005	6.862220000000001	6.24132
SLC25A15	Q9Y619	8.45105	8.98769	8.73987	8.65257	9.39175	9.16509	8.5485	8.68677	9.5586	8.72632	8.74616	9.33638	9.05232	9.06971	8.14996	8.17851	8.63824	7.86961	9.60813	8.82496	9.60171	8.22464
TM4SF5	O14894	9.25395	9.36	8.65494	9.67357	8.02177	8.40081	5.66596	6.27383	9.29521	9.30016	8.60424	7.99766	8.3876	7.72883	6.85125	8.45177	8.12079	6.66649	9.24792	7.40283	10.06359	9.13296
LMCD1	Q9NZU5	8.75082	8.06607	6.75704	7.2594	7.36945	7.29148	7.74577	7.45585	7.44782	6.72158	7.89204	6.7172	7.55118	8.32399	8.51216	8.6221	7.24098	9.22781	8.03835	7.00369	6.57264	6.73156
STAT3	P40763	11.33028	11.58576	11.24849	10.92383	10.76086	11.09145	11.42668	11.25553	11.12863	11.30493	11.35363	11.20981	11.20625	11.2221	11.43426	11.19031	11.20208	11.33902	11.32401	11.65731	11.58923	11.73734
CCDC14	Q49A88	9.67745	9.0455	9.28552	8.9578	9.11968	9.30275	9.45939	8.62171	9.20677	8.81782	8.72158	8.95982	8.9919	9.17229	8.71052	8.71667	8.67136	9.73472	8.70125	8.98609	9.74272	8.51027
CCDC15	Q0P6D6	6.38496	6.72984	5.94966	5.7527	7.02306	7.03865	7.78853	6.8406	7.37217	5.7445	6.18072	6.24556	6.71047	5.65271	6.09738	6.49143	7.00009	5.60282	6.07805	6.08864	6.30326	6.44505
EAF2	Q96CJ1	5.27949	5.62881	5.05701	5.44572	4.64524	5.94052	6.3718	5.81141	6.02804	5.50464	4.83263	5.40332	5.33815	4.7081	5.07951	5.39587	6.15488	5.89215	5.44868	5.71375	5.15365	5.19967
CCDC17	Q96LX7	5.80415	5.53646	5.42689	5.88482	6.03422	5.65308	5.84643	5.74362	5.71772	5.88519	5.73189	5.64555	5.8939	5.48674	5.64292	5.90069	5.52738	5.81679	5.89621	5.7843	5.94463	5.86308
LAD1	O00515	10.66512	10.42101	10.04862	10.54599	9.8118	10.32165	8.95749	10.34973	10.27453	10.24074	10.94553	10.42478	10.48417	10.26376	10.13291	10.25384	10.38162	10.54457	10.52333	10.3533	10.6447	10.36042
FOXF1	Q12946	6.23597	6.17776	6.09939	6.22068	6.23997	5.97974	5.75968	6.19313	6.36442	6.34532	6.28153	6.15339	6.62213	6.38225	6.2871	6.30657	6.65122	6.162	6.35806	6.25097	6.38063	6.3324
CCDC12	Q8WUD4	7.63437	7.62924	7.20308	7.71564	8.01021	8.00963	7.52082	7.82542	7.67014	7.7516	7.6525	7.87973	7.96697	7.79663	7.84103	7.68317	7.77009	7.87717	7.38974	7.8887	7.89373	7.69892
CCDC13	Q8IYE1	6.18691	6.14613	5.9438	6.27773	6.01329	5.97128	6.02861	6.13433	6.2618	6.14054	6.07086	6.18934	6.34544	6.2365	6.19381	6.29177	6.41323	6.30303	6.47453	6.27605	6.36279	6.21904
NUP107	P57740	8.35396	8.8157	8.45418	8.8204	9.09019	8.80314	8.42377	8.8712	8.66639	7.82565	7.99303	8.50282	8.23047	8.63807	8.03292	8.31352	8.30954	7.72336	9.63648	8.62784	8.96486	8.10094
CCDC18	Q5T9S5	6.55592	7.55274	7.2208	7.95966	7.60271	6.87166	8.19276	7.79094	7.50181	6.69902	6.79918	7.48354	6.87608	7.91477	6.96236	7.42823	6.32219	5.39173	7.62687	7.16427	7.54425	6.92282
RBPJL	Q9UBG7	6.95904	6.98224	7.20828	6.92184	7.16825	6.83956	6.80827	6.89764	7.00399	7.17537	7.02464	7.06852	7.10022	7.07755	6.75621	6.88401	7.33258	7.17574	6.85832	7.10427	7.2517	6.94031
TMUB1	Q9BVT8	8.34999	9.11681	8.6626	8.96602	8.55401	9.10326	8.96392	8.85459	9.30795	8.71753	8.59099	8.414	8.76904	8.48281	8.49832	8.63728	8.72876	8.56295	9.36699	8.90863	9.01853	8.64554
TMUB2	Q71RG4	9.01074	9.22523	9.24866	8.87158	8.60097	9.22558	8.45072	8.93531	8.90191	9.52658	8.6689	9.10443	9.08528	9.05766	9.44745	9.24739	9.4355	9.53606	8.94757	8.82515	9.0214	9.81819
HSD17B1	P14061	7.063195	7.33352	7.63269	7.283365	7.225325	7.247215	7.641565	7.443849999999999	7.515865	7.549485000000001	7.588565	7.41732	7.28815	7.199885	7.576125	7.49006	7.482189999999999	7.2553350000000005	7.545665	7.5874749999999995	7.033804999999999	7.780989999999999
ZNF644	Q9H582	9.49186	9.64269	9.53604	10.10592	9.73425	9.47985	10.14518	9.52105	9.26265	9.28478	9.53218	9.76842	9.68798	10.00145	9.92896	9.44922	8.94845	9.23609	9.61252	9.6979	9.75094	9.43407
ZNF280D	Q6N043	8.15037	7.62583	7.87719	7.8145	7.96432	8.22693	8.96889	8.01693	7.29973	8.01918	7.95648	7.84942	7.67579	7.31517	8.29217	8.07557	7.43233	7.90172	8.22748	8.57045	7.98015	7.91998
ZNF280C	Q8ND82	10.45445	9.66891	10.10681	10.0998	11.02753	10.60998	11.00596	9.33141	10.37585	9.75379	10.42265	9.95564	10.00191	10.33989	9.46618	9.7059	10.52432	9.49146	10.68496	10.07515	10.03848	11.10635
ZNF280B	Q86YH2	9.5492	8.70056	9.44412	5.06956	5.21947	9.25419	5.02387	8.30593	7.85921	9.19483	7.96562	9.27444	9.16732	8.56845	8.87821	9.32323	8.45122	8.4881	8.18998	8.93701	8.77168	9.63803
ZNF280A	P59817	4.51228	5.3603	5.71891	4.41835	4.74483	5.57556	4.75507	4.63818	4.91896	5.78163	5.434	5.1916	5.24448	5.73303	6.05274	5.93757	5.76786	5.32547	5.1916	6.31235	6.0294	5.11352
VIM	P08670	5.56037	5.9687	5.68874	5.84362	5.95162	5.36023	7.26224	6.7167	5.71196	6.20476	5.71508	5.68792	6.10666	5.64356	6.18456	6.19725	6.04493	5.88718	5.83953	5.66627	5.77388	5.87255
EFL1	Q7Z2Z2	6.66137	6.76092	6.16991	6.83859	6.50807	6.52193	7.09222	6.5384	6.21339	6.99348	6.6364	6.62946	6.10213	5.88095	7.22732	6.52734	6.39281	6.96878	6.79636	6.56917	6.82101	6.50255
VIP	P01282	3.49835	3.52996	3.33619	3.61725	3.59071	3.54841	3.60222	3.40544	3.6302	3.46697	3.59234	3.22956	3.4037	3.31768	3.37767	3.4974	3.78165	3.5212	3.56335	3.51311	3.34558	3.73659
DBF4	Q9UBU7	8.07852	8.26183	7.93194	8.31411	8.57721	8.61373	8.46367	8.45853	9.11851	8.03198	7.9707	8.05969	8.13481	8.42764	7.23117	7.8512	8.06829	6.95282	8.71676	8.15489	8.6481	8.40235
GPN2	Q9H9Y4	9.04254	9.0683	10.21886	8.95889	9.29968	8.9659	9.05593	9.26805	9.28023	9.62094	9.28122	9.40816	8.95076	8.62899	9.27171	9.52743	9.3981	9.11934	9.565	9.23093	8.89437	9.55144
VIT	Q6UXI7	4.66898	4.43032	4.71767	4.55959	4.7039	4.59419	4.65064	4.67438	4.91842	4.53198	4.71476	4.79507	4.50665	4.82773	4.5919	4.61207	4.75713	4.51388	4.96153	4.70973	4.72344	4.97289
